// Basis
自变量	zbll
等式	dgui
未知	wwvi
不等式	bdui
充要条件	iytj
倍数	bwuu
定理	dkli
分母	ffmu
负数	fuuu
复数	fuuu
非负	fwfu
常量	ihll
常数	ihuu
除数	iuuu
代数	dduu
几何	jihe
奇数	jiuu
阶乘	jpig
四舍五入	sswr
同解	tsjp
通解	tsjp
实数	uiuu
数轴	uuvz
正数	vguu
整数	vguu
质数	viuu
无理数	wluu
虚数	xuuu
因式	ybui
因数	ybuu
因子	ybzi
有理数	yluu
引理	ybli
原点	yrdm
约数	ytuu
余数	yuuu
自然数	zruu
即可	jike# 固
乘法	igfa

// Algebra
内积	nwji
向量	xlll
线性	xmxk
范数	fjuu

// Analysis
微分	wwff
导数	dcuu
偏导数	pduu

// Geometry
顶点	dkdm
对角	dvjn
割线	gexm
角平分线	jpfx
截距	jpju
截面	jpmm
内切	nwqp
平分	pkff
全等	qrdg
外切	wdqp
相交	xljn
夹角	jxjn

// Probability Theory
加权	jxqr

// Set Theoty
并集	bkji
基数	jiuu
交集	jnji
序数	xuuu

// Topology
流形	lpxk

// Differential Equations
常微分	iwff
偏微分	pwff
偏微分方程	pwfi
常微分方程	iwfi
特解	tejp
拉普拉斯	lpls
算子	srzi
哈密顿	hmdy
