// 基础
自变量	zbll
等式	dgui
未知	wwvi
不等式	bdui
充要条件	iytj
必要条件	bytj
充分条件	iftj
倍数	bwuu
定理	dkli
分母	ffmu
负数	fuuu
复数	fuuu
非负	fwfu
常量	ihll
常数	ihuu
除数	iuuu
代数	dduu
几何	jihe
奇数	jiuu
阶乘	jpig
四舍五入	sswr
同解	tsjp
通解	tsjp
实数	uiuu
数轴	uuvz
正数	vguu
整数	vguu
质数	viuu
无理数	wluu
虚数	xuuu
因式	ybui
因数	ybuu
因子	ybzi
有理数	yluu
引理	ybli
原点	yrdm
约数	ytuu
余数	yuuu
自然数	zruu
即可	jike
乘法	igfa
已知	yivi
易知	yivi
多项式	dxui
有理函数	ylhu
所求	soqq
方程组	fizu
待定系数法	dxuf
二次函数	echu
大于	dayu
小于	xnyu
取值	quvi
初始	iuui
边界	bmjp
给定	gwdk
幂函数	mhuu
一元函数	yyhu
二元函数	eyhu
多元函数	dyhu
多元	doyr
最小值	zxvi
最大值	zdvi
极值	jivi
冲量	isll
动量	dsll
代入	ddru
大写字母	dxzm
小写字母	xxzm
卷积	jrji

// 代数
二项式	exui
内积	nwji
向量	xlll
线性	xmxk
范数	fjuu
线性相关	xxxg
线性无关	xxwg
齐次	qici
线性方程	xxfi
线性方程组	xxfz
多维	doww

// 分析
微分	wwff
导数	dcuu
偏导数	pduu
余项	yuxl
被积函数	bjhu
级数	jiuu

// 几何
顶点	dkdm
对角	dvjn
割线	gexm
角平分线	jpfx
截距	jpju
截面	jpmm
内切	nwqp
平分	pkff
全等	qrdg
外切	wdqp
相交	xljn
夹角	jxjn

// 概率统计
加权	jxqr
事件	uijm
样本点	ybdm
二项分布	exfb
泊松分布	bsfb
几何分布	jhfb
超几何分布	ijhb
负二项分布	fexb
正态	vgtd
正态分布	vtfb
均匀分布	jyfb
指数分布	vufb
伽马分布	gmfb
贝塔分布	btfb
卡方分布	kffb
方差	fhia
标准差	bvia
分布列	fblp
随机变量	sjbl
概率密度	glmd
概率密度函数	glmu
分布函数	fbhu
多项分布	dxfb
边际	bmji
数学期望	uxqw

// 集合论
并集	bkji
基数	jiuu
交集	jnji
序数	xuuu

// 拓扑
流形	lpxk

// 微分方程
微分方程	wffi
常微分	iwff
偏微分	pwff
偏微分方程	pwfi
常微分方程	iwfi
特解	tejp
算子	srzi
定解	dkjp
适定	uidk
初值	iuvi
初值问题	ivwt
叠加原理	djyl
冲量原理	ilyl
振动	vfds
定解问题	djwt

// 数值分析
数值分析	uvfx
插值	iavi
插值法	ivfa
基函数	jhuu
插值多项式	ivdu
差商	iauh
均差	jyia
差分	iaff
三次样条插值	scyv
样条插值	ytiv
正交多项式	vjdu
权函数	qhuu
最佳平方逼近	zjpj
最小二乘	zxei
最佳逼近	zjbj
最优一致逼近	zyyj

// 人名
哈密顿	hmdy
拉普拉斯	lpls
拉格朗日	lglr
切比雪夫	qbxf
伯努利	bnli
勒让德	lrde
傅立叶	flye
